Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,82.510002,84.680000,81.730003,84.309998,84.309998,1596700
2018-09-11,83.809998,87.220001,83.511002,85.290001,85.290001,2296900
2018-09-12,85.900002,86.211998,81.500000,85.010002,85.010002,2234800
2018-09-13,85.220001,86.820000,84.000000,85.309998,85.309998,2312700
2018-09-14,85.769997,87.500000,85.580002,87.279999,87.279999,1786700
2018-09-17,87.010002,87.239998,83.010002,84.410004,84.410004,2230400
2018-09-18,84.349998,86.800003,84.320000,85.379997,85.379997,2159300
2018-09-19,85.309998,86.480003,81.300003,82.870003,82.870003,1857500
2018-09-20,83.300003,85.160004,81.180000,84.830002,84.830002,2203400
2018-09-21,85.309998,86.238998,83.269997,83.730003,83.730003,1462700
2018-09-24,82.349998,84.389999,80.769997,83.360001,83.360001,1808200
2018-09-25,83.870003,87.970001,83.680000,87.699997,87.699997,2658800
2018-09-26,88.089996,88.879997,84.550003,84.790001,84.790001,1800900
2018-09-27,85.010002,86.860001,84.800003,85.720001,85.720001,1211000
2018-09-28,85.500000,87.870003,85.500000,86.279999,86.279999,1843800
2018-10-01,87.000000,87.550003,83.197998,83.750000,83.750000,2150800
2018-10-02,83.000000,83.629997,78.589996,79.570000,79.570000,2844600
2018-10-03,80.349998,81.820000,79.629997,80.900002,80.900002,2026800
2018-10-04,80.160004,80.495003,76.093002,78.089996,78.089996,2458700
2018-10-05,78.150002,79.989998,74.599998,76.620003,76.620003,2516700
2018-10-08,75.519997,75.889999,71.459999,74.089996,74.089996,2975100
2018-10-09,74.690002,76.849998,73.817001,74.330002,74.330002,2924900
2018-10-10,73.650002,74.209999,67.695999,68.019997,68.019997,4593200
2018-10-11,67.349998,72.989998,67.080002,69.290001,69.290001,4777600
2018-10-12,76.019997,76.500000,72.370003,75.000000,75.000000,3636400
2018-10-15,74.629997,77.139999,73.000000,76.129997,76.129997,3099100
2018-10-16,70.949997,76.239998,66.739998,75.919998,75.919998,21867800
2018-10-17,76.019997,76.580002,71.320000,74.010002,74.010002,5734700
2018-10-18,72.610001,73.510002,69.809998,71.730003,71.730003,3997300
2018-10-19,72.610001,73.709999,66.330002,66.410004,66.410004,4909000
2018-10-22,67.760002,69.879997,65.653999,69.230003,69.230003,3481200
2018-10-23,66.989998,70.000000,66.755997,69.680000,69.680000,2916500
2018-10-24,70.199997,70.529999,63.900002,63.980000,63.980000,3188500
2018-10-25,64.500000,67.750000,64.325996,67.349998,67.349998,3504000
2018-10-26,64.500000,66.820000,62.430000,65.849998,65.849998,2865700
2018-10-29,67.379997,68.709999,64.599998,65.980003,65.980003,3363900
2018-10-30,65.089996,70.139999,64.190002,69.839996,69.839996,3887000
2018-10-31,72.370003,76.150002,71.669998,75.220001,75.220001,4859700
2018-11-01,75.290001,76.900002,73.250000,76.629997,76.629997,3073700
2018-11-02,76.489998,77.949997,73.320000,74.320000,74.320000,2474100
2018-11-05,74.320000,74.320000,70.180000,71.769997,71.769997,3426300
2018-11-06,72.470001,74.567001,69.959999,71.019997,71.019997,5630200
2018-11-07,82.250000,96.970001,80.699997,96.190002,96.190002,25260900
2018-11-08,94.650002,98.889999,91.660004,91.949997,91.949997,9755100
2018-11-09,90.500000,95.889999,89.870003,92.230003,92.230003,8338100
2018-11-12,91.660004,92.080002,81.779999,83.339996,83.339996,9714800
